year,p_2017,p_2018,p_2019,n_2017,n_2018,n_2019,d_2017,d_2018,d_2019
0,4.2,4.55,4.32,95090,88146,87291,399,401,377
1,0.29,0.36,0.28,108888,102220,94647,32,37,27
2,0.16,0.23,0.23,112410,109010,102418,18,25,24
3,0.11,0.14,0.22,110720,112362,109031,12,16,24
4,0.13,0.11,0.11,102612,110652,112352,13,12,12
5,0.14,0.1,0.16,122946,102621,110652,17,10,18
6,0.15,0.12,0.1,104314,122851,102538,16,15,10
7,0.09,0.1,0.13,88178,104229,122720,8,10,16
8,0.1,0.11,0.1,101632,88112,104183,10,10,10
9,0.08,0.11,0.07,104081,101598,88111,8,11,6
10,0.15,0.13,0.1,107711,104059,101602,16,14,10
11,0.16,0.13,0.09,108141,107678,104051,17,14,9
12,0.13,0.18,0.06,108537,108104,107657,14,19,6
13,0.15,0.21,0.16,114611,108496,108079,17,23,17
14,0.24,0.25,0.14,119086,114583,108470,29,29,15
15,0.25,0.33,0.3,128699,119092,114601,32,39,34
16,0.35,0.34,0.34,133670,128627,119073,47,44,40
17,0.42,0.33,0.44,159409,133533,128522,67,44,57
18,0.56,0.58,0.74,147394,159360,133486,83,92,99
19,0.63,0.5,0.59,138696,147349,159323,87,74,94
20,0.54,0.55,0.68,167639,138584,147230,91,76,100
21,0.67,0.68,0.65,166828,167497,138448,112,114,90
22,0.54,0.61,0.6,167086,166677,167341,90,102,100
23,0.63,0.56,0.67,166519,166921,166556,105,93,112
24,0.59,0.56,0.53,167712,166352,166762,99,93,88
25,0.62,0.64,0.62,165619,167510,166192,103,107,103
26,0.64,0.61,0.54,164827,165437,167332,105,101,90
27,0.7,0.6,0.65,172967,164652,165281,121,99,107
28,0.64,0.74,0.61,159071,172776,164493,102,128,100
29,0.64,0.77,0.72,174335,158884,172601,112,122,124
30,0.92,0.78,0.72,157661,174117,158728,145,136,114
31,0.91,0.88,0.86,152303,157449,173938,139,139,150
32,0.99,0.92,0.91,170482,152079,157265,169,140,143
33,1.2,1.08,1.27,183769,170243,151877,221,184,193
34,1.27,1.21,1.08,188779,183542,170028,240,222,184
35,1.42,1.24,1.15,198771,188513,183346,282,234,211
36,1.59,1.48,1.39,204004,198481,188264,324,294,262
37,1.69,1.63,1.56,200607,203847,198350,339,332,309
38,2.08,1.83,1.71,205881,200360,203624,428,367,348
39,2.17,2.1,2.15,199812,205492,200003,434,432,430
40,2.31,2.38,2.33,188906,199421,205106,436,475,478
41,2.65,2.8,2.42,205803,188413,198960,545,528,481
42,2.92,2.65,2.93,176395,205249,187947,515,544,551
43,3.48,3.3,2.99,173469,175841,204654,604,580,612
44,3.76,3.33,3.44,173098,172929,175345,651,576,603
45,3.94,3.71,3.61,171655,172455,172277,676,640,622
46,3.98,4.15,4.06,177330,170996,171841,706,710,698
47,4.5,4.44,4.27,182083,176565,170317,819,784,727
48,4.77,4.56,4.75,182454,181271,175867,870,827,835
49,5.3,4.88,5.43,182054,181604,180405,965,886,980
50,5.7,5.3,5.41,173240,181140,180710,987,960,978
51,5.62,5.79,6.14,184415,172304,180130,1036,998,1106
52,6.51,6.39,6.08,181578,183300,171315,1182,1171,1042
53,6.99,6.96,6.71,184437,180395,182241,1289,1256,1223
